Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		110
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		107
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		59
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_LOC		110
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_LOW_RISK_LOC		107
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_MEDIUM_RISK_LOC		59
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FRONTEND_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		110
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		107
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		59
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
